name,abilities,moves,levels,tms,trs
Mega Gallade,Inner Focus,Slash-Leaf Blade-Confusion-Teleport-Night Slash-Close Combat-Stored Power-Leer-Double Team-Quick Guard-Fury Cutter-Aerial Ace-Heal Pulse-Wide Guard-Swords Dance-Psycho Cut-Helping Hand-Feint-False Swipe-Protect,0-1-1-1-1-1-1-1-1-11-14-17-19-23-26-31-35-40-44-49,1-3-4-6-8-10-11-12-15-16-17-18-20-21-24-26-27-29-30-31-32-33-39-40-41-42-44-45-46-47-48-49-52-54-56-57-61-68-71-73-75-77-78-80-81-84-85-86-87-88-90-92-99-100,0-1-7-8-10-11-20-21-25-26-27-30-33-34-37-38-40-42-48-49-50-53-56-57-60-64-65-69-75-77-82-83-85-92-95
Gallade,Steadfast-Justified,Slash-Leaf Blade-Confusion-Teleport-Night Slash-Close Combat-Stored Power-Leer-Double Team-Quick Guard-Fury Cutter-Aerial Ace-Heal Pulse-Wide Guard-Swords Dance-Psycho Cut-Helping Hand-Feint-False Swipe-Protect,0-1-1-1-1-1-1-1-1-11-14-17-19-23-26-31-35-40-44-49,1-3-4-6-8-10-11-12-15-16-17-18-20-21-24-26-27-29-30-31-32-33-39-40-41-42-44-45-46-47-48-49-52-54-56-57-61-68-71-73-75-77-78-80-81-84-85-86-87-88-90-92-99-100,0-1-7-8-10-11-20-21-25-26-27-30-33-34-37-38-40-42-48-49-50-53-56-57-60-64-65-69-75-77-82-83-85-92-95
Probopass,Sturdy-Magnet Pull-Sand Force,Tri Attack-Magnet Bomb-Tackle-Block-Magnet Rise-Gravity-Iron Defense-Wide Guard-Magnetic Flux-Thunder Wave-Rest-Spark-Rock Slide-Power Gem-Rock Blast-Discharge-Sandstorm-Earth Power-Stone Edge-Lock On-Zap Cannon,0-1-1-1-1-1-1-1-1-13-16-19-22-25-28-31-34-37-40-43-43,6-10-11-12-15-17-21-23-24-25-26-27-32-37-39-41-42-44-45-48-64-68-69-71-72-73-78-80-87-88-90-91-99-100,
Dusknoir,Pressure-Frisk,Fire Punch-Ice Punch-Astonish-Shadow Punch-Disable-Thunder Punch-Gravity-Night Shade-Leer-Bind-Future Sight-Foresight-Shadow Sneak-Pursuit-Will O Wisp-Confuse Ray-Curse-Hex-Shadow Ball-Mean Look-Payback,1-1-1-1-1-1-1-1-1-1-1-14-17-22-25-30-33-40-45-52-57,4-6-10-11-12-13-14-15-17-18-21-26-27-29-30-31-32-39-41-42-44-45-46-48-52-56-57-61-63-66-68-77-78-80-83-85-87-88-90-92-97-100,1-5-6-10-11-14-20-26-27-33-34-37-38-40-49-58-64-83-93
Froslass,Snow Cloak-Cursed Body,Ominous Wind-Powder Snow-Ice Shard-Leer-Double Team-Destiny Bond-Icy Wind-Astonish-Draining Kiss-Will O Wisp-Confuse Ray-Wake Up Slap-Captivate-Shadow Ball-Blizzard-Hail,0-1-1-1-1-1-14-19-23-28-32-37-41-42-48-54,6-7-10-12-13-14-15-16-17-18-20-21-24-25-27-29-30-32-41-42-44-45-48-56-61-63-66-68-70-73-77-79-85-87-88-90-100,1-5-6-8-9-11-20-23-26-27-32-33-37-38-83
Rotom,Levitate,Charge-Discharge-Astonish-Confuse Ray-Trick-Thunder Wave-Thunder Shock-Uproar-Double Team-Shock Wave-Ominous Wind-Substitute-Electro Ball-Hex,1-1-1-1-1-1-1-8-15-22-29-36-43-50,6-10-11-16-17-18-21-24-25-27-30-32-33-42-44-46-48-57-61-72-73-77-85-87-88-90-97-100,8-9-20-26-27-33-35-38-42-58-68-80-81-82-83
Uxie,Levitate,Confusion-Flail-Memento-Natural Gift-Rest-Imprison-Endure-Swift-Yawn-Future Sight-Amnesia-Extrasensory,1-1-1-1-1-6-16-21-31-36-46-50,3-4-6-10-11-15-16-17-18-20-21-22-24-25-27-29-30-32-33-37-42-44-48-53-56-57-62-68-73-77-85-86-87-88-89-90-92-99-100,8-9-11-14-17-19-20-25-26-27-29-30-31-33-34-38-40-49-65-68-69-76-77-81-82-83-90-92
Mesprit,Levitate,Confusion-Copycat-Healing Wish-Natural Gift-Rest-Imprison-Protect-Swift-Lucky Chant-Future Sight-Charm-Extrasensory,1-1-1-1-1-6-16-21-31-36-46-50,3-4-6-10-11-13-14-15-16-17-18-20-21-24-25-27-29-30-32-33-37-42-44-48-53-56-57-62-68-73-77-85-86-87-88-89-90-92-99-100,5-6-8-9-11-14-19-20-25-26-27-29-30-31-33-34-38-40-49-65-68-69-76-77-82-83-90-92
Azelf,Levitate,Confusion-Last Resort-Natural Gift-Rest-Imprison-Detect-Swift-Uproar-Future Sight-Nasty Plot-Extrasensory-Explosion,1-1-1-1-6-16-21-31-36-46-50-76,3-4-6-10-11-12-15-16-17-18-20-21-24-25-27-29-30-32-33-35-37-38-41-42-44-48-53-56-57-62-64-66-68-73-77-85-86-87-88-89-90-92-99-100,2-8-9-11-14-15-19-20-25-26-27-29-30-31-33-34-35-37-38-40-49-65-68-69-76-77-82-83-90-92
Dialga,Pressure-Telepathy,Dragon Breath-Scary Face-Metal Claw-Ancient Power-Slash-Power Gem-Metal Burst-Dragon Claw-Earth Power-Aura Sphere-Iron Tail-Roar Of Time-Flash Cannon,1-1-6-10-15-19-24-28-33-37-42-46-50,2-5-6-8-10-11-13-14-15-17-18-20-21-24-25-26-27-31-32-35-37-38-39-40-42-44-48-49-50-65-68-71-73-77-78-80-90-91-92-100,1-2-5-6-8-9-10-15-20-24-26-27-31-42-43-46-56-62-63-67-70-74-75-76-79-99
Palkia,Pressure-Telepathy,Dragon Breath-Scary Face-Water Pulse-Ancient Power-Slash-Power Gem-Aqua Ring-Dragon Claw-Earth Power-Aura Sphere-Aqua Tail-Spacial Rend-Hydro Pump,1-1-6-10-15-19-24-28-33-37-42-46-50,2-5-6-7-8-10-11-13-14-15-17-18-20-21-24-25-26-27-31-32-35-37-38-39-40-42-44-48-49-52-56-65-68-71-73-77-78-80-82-87-88-90-92-94-100,1-2-3-4-5-6-8-9-10-15-20-24-26-27-42-47-48-56-62-63-64-67-75-79-98-99
Heatran,Flash Fire-Flame Body,Ancient Power-Earth Power-Fire Spin-Heat Wave-Iron Head-Magma Storm-Leer-Fire Fang-Metal Sound-Crunch-Scary Face-Lava Plume-Stone Edge-Magma Storm,1-1-1-1-1-1-9-17-25-33-41-49-88-96,5-6-10-11-12-15-17-21-22-26-27-32-35-38-39-41-42-43-44-45-48-50-61-64-66-68-71-78-80-87-88-90-91-96-97-100,1-2-10-15-20-26-27-32-35-36-37-43-46-58-62-67-70-74-75-76-79-88-99
Regigigas,Slow Start,Confuse Ray-Crush Grip-Dizzy Punch-Fire Punch-Foresight-Heavy Slam-Ice Punch-Knock Off-Thunder Punch-Revenge-Wide Guard-Zen Headbutt-Payback-Crush Grip-Heavy Slam-Giga Impact,1-1-1-1-1-1-1-1-1-25-40-50-65-75-90-100,6-10-11-15-18-20-21-23-24-25-26-27-31-32-39-40-42-48-52-56-66-68-69-71-73-77-78-80-87-88-90-96-100,1-8-9-10-20-26-27-39-64-67-69-74-75-79-88-93-94-99
Origin Giratina,Levitate,Dragon Breath-Scary Face-Ominous Wind-Ancient Power-Slash-Shadow Sneak-Destiny Bond-Dragon Claw-Earth Power-Aura Sphere-Shadow Claw-Shadow Force-Hex,1-1-6-10-15-19-24-28-33-37-42-46-50,2-4-5-6-10-11-15-17-18-20-21-24-25-26-27-29-30-32-40-42-44-48-49-51-53-57-59-61-65-66-68-71-73-76-77-78-82-85-87-88-90-97-100,1-8-9-10-11-20-24-26-27-31-33-42-47-49-56-58-62-65-67-74-75
Giratina,Pressure-Telepathy,Dragon Breath-Scary Face-Ominous Wind-Ancient Power-Slash-Shadow Sneak-Destiny Bond-Dragon Claw-Earth Power-Aura Sphere-Shadow Claw-Shadow Force-Hex,1-1-6-10-15-19-24-28-33-37-42-46-50,2-4-5-6-10-11-15-17-18-20-21-24-25-26-27-29-30-32-40-42-44-48-49-51-53-57-59-61-65-66-68-71-73-76-77-78-82-85-87-88-90-97-100,1-8-9-10-11-20-24-26-27-31-33-42-47-49-56-58-62-65-67-74-75
Cresselia,Levitate,Confusion-Double Team-Lunar Dance-Moonlight-Psycho Cut-Psycho Shift-Safeguard-Mist-Aurora Beam-Future Sight-Slash-Lunar Dance-Psychic-Moonblast,1-1-1-1-1-1-11-20-29-38-47-84-93-99,3-4-6-10-11-13-15-16-17-18-20-21-22-27-29-30-32-33-42-44-45-48-53-57-68-73-77-85-86-87-88-90-92-100,1-5-11-20-25-26-27-33-34-38-40-49-65-69-77-82-83
Phione,Hydration,Bubble-Water Sport-Charm-Supersonic-Bubble Beam-Acid Armor-Whirlpool-Water Pulse-Aqua Ring-Dive-Rain Dance,1-1-9-16-24-31-39-46-54-61-69,6-7-10-13-14-17-18-20-21-27-32-42-44-48-55-56-77-86-87-88-89-90-94-98-99-100,
Manaphy,Hydration,Bubble-Tail Glow-Water Sport-Charm-Supersonic-Bubble Beam-Acid Armor-Whirlpool-Water Pulse-Aqua Ring-Dive-Rain Dance-Heart Swap,1-1-1-9-16-24-31-39-46-54-61-69-76,4-6-7-10-13-14-15-16-17-18-20-21-27-29-30-32-33-42-44-48-53-55-56-68-77-86-87-88-89-90-94-98-99-100,
Darkrai,Bad Dreams,Disable-Ominous Wind-Quick Attack-Hypnosis-Feint Attack-Nightmare-Double Team-Haze-Dark Void-Nasty Plot-Dream Eater-Dark Pulse,1-1-11-20-29-38-47-57-66-75-84-93,4-6-10-11-12-13-14-15-17-18-21-24-25-27-29-30-31-32-36-39-40-41-42-44-46-48-52-56-57-61-63-65-66-68-73-75-77-80-81-84-85-87-88-90-95-97-100,
Shaymin Sky,Natural Cure,Growth-Magical Leaf-Leech Seed-Quick Attack-Sweet Scent-Natural Gift-Worry Seed-Air Slash-Energy Ball-Sweet Kiss-Leaf Storm-Seed Flare,1-10-19-28-37-46-55-64-73-82-91-100,6-10-11-15-17-20-21-22-27-29-32-42-44-48-53-68-76-77-86-87-88-90-96-99-100,
Shaymin,Natural Cure,Growth-Magical Leaf-Leech Seed-Synthesis-Sweet Scent-Natural Gift-Worry Seed-Aromatherapy-Energy Ball-Sweet Kiss-Healing Wish-Seed Flare,1-10-19-28-37-46-55-64-73-82-91-100,6-10-11-15-17-20-21-22-27-29-32-42-44-48-53-68-76-77-86-87-88-90-96-99-100,
Arceus,Multitype,Cosmic Power-Natural Gift-Punishment-Seismic Toss-Gravity-Earth Power-Hyper Voice-Extreme Speed-Refresh-Future Sight-Recover-Hyper Beam-Perish Song-Judgment,1-1-1-1-10-20-30-40-50-60-70-80-90-100,1-2-3-4-5-6-7-10-11-13-14-15-16-17-18-20-21-22-24-25-26-27-29-30-31-32-33-35-36-37-38-39-40-42-44-48-49-50-52-53-57-60-61-65-66-68-71-73-75-76-77-78-80-81-84-85-86-87-88-90-91-92-94-95-97-98-100,
Victini,Victory Star,Confusion-Focus Energy-Incinerate-Quick Attack-Searing Shot-Endure-Headbutt-Flame Charge-Reversal-Flame Burst-Zen Headbutt-Inferno-Double Edge-Flare Blitz-Final Gambit-Stored Power-Overheat-V Create,1-1-1-1-1-9-17-25-33-41-49-57-65-73-81-89-97-100,1-3-6-10-11-12-15-16-17-20-21-22-24-25-27-29-30-31-32-35-38-42-43-44-48-50-52-53-56-57-61-63-68-73-77-86-87-88-89-90-92-93-99-100,2-8-9-11-13-15-20-21-25-26-27-29-30-33-34-35-36-37-38-40-41-43-55-64-65-69-77-82-85-86-92
Snivy,Overgrow-Contrary,Tackle-Leer-Vine Whip-Wrap-Growth-Leaf Tornado-Leech Seed-Mega Drain-Slam-Leaf Blade-Coil-Giga Drain-Wring Out-Gastro Acid-Leaf Storm,1-4-7-10-13-16-19-22-25-28-31-34-37-40-43,1-4-6-10-11-12-16-17-20-21-22-27-32-33-40-41-42-44-45-48-53-75-86-87-88-90-96-100,
Servine,Overgrow-Contrary,Leer-Tackle-Vine Whip-Wrap-Growth-Leaf Tornado-Leech Seed-Mega Drain-Slam-Leaf Blade-Coil-Giga Drain-Wring Out-Gastro Acid-Leaf Storm,1-1-1-1-13-16-20-24-28-32-36-40-44-48-52,1-4-6-10-11-12-16-17-20-21-22-27-32-33-40-41-42-44-45-48-53-75-86-87-88-90-96-100,
Serperior,Overgrow-Contrary,Leer-Tackle-Vine Whip-Wrap-Growth-Leaf Tornado-Leech Seed-Mega Drain-Slam-Leaf Blade-Coil-Giga Drain-Wring Out-Gastro Acid-Leaf Storm,1-1-1-1-13-16-20-24-28-32-38-44-50-56-62,1-4-6-10-11-12-15-16-17-20-21-22-27-32-33-40-41-42-44-45-48-53-59-68-75-82-86-87-88-90-96-100,
Tepig,Blaze-Thick Fat,Tackle-Tail Whip-Ember-Odor Sleuth-Defense Curl-Flame Charge-Smog-Rollout-Take Down-Heat Crash-Assurance-Flamethrower-Head Smash-Roar-Flare Blitz,1-3-7-9-13-15-19-21-25-27-31-33-37-39-43,1-5-6-10-11-12-17-21-22-27-32-35-38-39-42-43-44-45-48-49-50-61-74-86-87-88-90-93-100,
Pignite,Blaze-Thick Fat,Arm Thrust-Ember-Odor Sleuth-Tackle-Tail Whip-Defense Curl-Flame Charge-Smog-Rollout-Take Down-Heat Crash-Assurance-Flamethrower-Head Smash-Roar-Flare Blitz,1-1-1-1-1-13-15-20-23-28-31-36-39-44-47-52,1-5-6-10-11-12-17-21-22-27-31-32-35-38-39-42-43-44-45-47-48-49-50-52-56-61-71-74-78-80-84-86-87-88-90-93-100,
Emboar,Blaze-Reckless,Arm Thrust-Ember-Hammer Arm-Odor Sleuth-Tackle-Tail Whip-Defense Curl-Flame Charge-Smog-Rollout-Take Down-Heat Crash-Assurance-Flamethrower-Head Smash-Roar-Flare Blitz,1-1-1-1-1-1-13-15-20-23-28-31-38-43-50-55-62,1-5-6-8-10-11-12-15-17-21-22-23-26-27-31-32-35-38-39-42-43-44-45-47-48-49-50-52-55-56-61-68-71-74-78-80-84-86-87-88-90-93-100,
Oshawott,Torrent-Shell Armor,Tackle-Tail Whip-Water Gun-Water Sport-Focus Energy-Razor Shell-Fury Cutter-Water Pulse-Revenge-Aqua Jet-Encore-Aqua Tail-Retaliate-Swords Dance-Hydro Pump,1-5-7-11-13-17-19-23-25-29-31-35-37-41-43,1-6-7-10-12-13-14-17-18-21-27-32-40-42-44-45-48-54-55-56-75-81-86-87-88-90-94-98-100,
Dewott,Torrent-Shell Armor,Tackle-Tail Whip-Water Gun-Water Sport-Focus Energy-Razor Shell-Fury Cutter-Water Pulse-Revenge-Aqua Jet-Encore-Aqua Tail-Retaliate-Swords Dance-Hydro Pump,1-1-1-1-13-18-21-26-29-34-37-42-45-50-53,1-6-7-10-12-13-14-17-18-21-27-32-40-42-44-45-48-54-55-56-75-81-86-87-88-90-94-98-100,
Samurott,Torrent-Shell Armor,Megahorn-Slash-Tackle-Tail Whip-Water Gun-Water Sport-Focus Energy-Razor Shell-Fury Cutter-Water Pulse-Revenge-Aqua Jet-Encore-Aqua Tail-Retaliate-Swords Dance-Hydro Pump,1-1-1-1-1-1-13-18-21-25-29-34-39-46-51-58-63,1-6-7-10-12-13-14-15-17-18-21-27-32-40-42-44-45-48-54-55-56-67-68-75-81-82-86-87-88-90-94-98-100,
Patrat,Run Away-Keen Eye-Analytic,Tackle-Leer-Bite-Bide-Detect-Sand Attack-Crunch-Hypnosis-Super Fang-After You-Focus Energy-Work Up-Hyper Fang-Nasty Plot-Mean Look-Baton Pass-Slam,1-3-6-8-11-13-16-18-21-23-26-28-31-33-36-38-41,1-6-10-11-17-18-21-24-27-30-32-42-44-45-48-56-75-86-87-88-90-100,
Watchog,Illuminate-Keen Eye-Analytic,Confuse Ray-Low Kick-Tackle-Bite-Leer-Rototiller-Bide-Detect-Sand Attack-Crunch-Hypnosis-Super Fang-After You-Focus Energy-Psych Up-Hyper Fang-Nasty Plot-Mean Look-Baton Pass-Slam,0-1-1-1-1-1-8-11-13-16-18-22-25-29-32-36-39-43-46-50,1-6-10-11-15-16-17-18-21-24-25-27-30-32-35-42-44-45-48-52-56-68-73-75-77-85-86-87-88-90-100,
Lillipup,Vital Spirit-Pickup-Run Away,Tackle-Leer-Odor Sleuth-Bite-Baby Doll Eyes-Helping Hand-Take Down-Work Up-Crunch-Roar-Retaliate-Reversal-Last Resort-Giga Impact-Play Rough,1-1-5-8-10-12-15-19-22-26-29-33-36-40-45,1-5-6-10-11-17-18-21-24-27-30-32-39-40-42-44-45-48-68-73-87-88-90-93-95-100,8-20-21-26-27-32-33-35-42-85-86-90-97
Herdier,Intimidate-Sand Rush-Scrappy,Odor Sleuth-Tackle-Bite-Leer-Helping Hand-Take Down-Work Up-Crunch-Roar-Retaliate-Reversal-Last Resort-Giga Impact-Play Rough,1-1-1-1-12-15-20-24-29-33-38-42-47-52,1-5-6-10-11-17-18-21-24-27-30-32-39-40-42-44-45-48-66-68-73-87-88-90-93-94-95-100,4-8-20-21-26-27-32-33-35-42-85-86-90-97
Stoutland,Intimidate-Sand Rush-Scrappy,Fire Fang-Odor Sleuth-Ice Fang-Tackle-Bite-Leer-Thunder Fang-Helping Hand-Take Down-Work Up-Crunch-Roar-Retaliate-Reversal-Last Resort-Giga Impact-Play Rough,1-1-1-1-1-1-1-12-15-20-24-29-36-42-51-59-63,1-5-6-10-11-15-17-18-21-24-25-27-30-32-39-40-42-44-45-48-66-68-73-87-88-90-93-94-95-100,4-8-9-20-21-26-27-32-33-35-39-42-74-85-86-90-97
Purrloin,Limber-Unburden-Prankster,Scratch-Growl-Assist-Sand Attack-Fury Swipes-Pursuit-Torment-Fake Out-Hone Claws-Assurance-Slash-Captivate-Night Slash-Snatch-Nasty Plot-Sucker Punch-Play Rough,1-3-6-10-12-15-19-21-24-28-30-33-37-39-42-46-49,6-10-11-12-17-18-21-27-30-32-40-41-42-44-45-46-48-49-63-65-66-73-77-85-86-87-88-89-90-95-97-100,20-26-27-29-30-31-33-37-38-42-58-59-68-73-77-81-90
Liepard,Limber-Unburden-Prankster,Sand Attack-Assist-Scratch-Growl-Fury Swipes-Pursuit-Torment-Fake Out-Hone Claws-Assurance-Slash-Taunt-Night Slash-Snatch-Nasty Plot-Sucker Punch-Play Rough,1-1-1-1-12-15-19-22-26-31-34-38-43-47-50-55-58,6-10-11-12-15-17-18-21-27-30-32-40-41-42-44-45-46-48-49-63-65-66-68-73-77-85-86-87-88-89-90-95-97-100,20-26-27-29-30-31-33-37-38-42-58-59-68-73-77-81-90-95
Pansage,Gluttony-Overgrow,Play Nice-Scratch-Leer-Lick-Vine Whip-Fury Swipes-Leech Seed-Bite-Seed Bomb-Torment-Fling-Acrobatics-Grass Knot-Recycle-Natural Gift-Crunch,1-1-4-7-10-13-16-19-22-25-28-31-34-37-40-43,1-6-10-11-12-17-21-22-27-32-39-41-42-44-45-46-47-48-53-56-62-65-66-86-87-88-90-96-100,
Simisage,Gluttony-Overgrow,Fury Swipes-Seed Bomb-Leer-Lick,1-1-1-1,1-6-10-11-12-15-17-21-22-27-31-32-39-41-42-44-45-46-47-48-52-53-56-62-65-66-68-80-86-87-88-90-96-100,
Pansear,Gluttony-Blaze,Play Nice-Scratch-Leer-Lick-Incinerate-Fury Swipes-Yawn-Bite-Flame Burst-Amnesia-Fling-Acrobatics-Fire Blast-Recycle-Natural Gift-Crunch,1-1-4-7-10-13-16-19-22-25-28-31-34-37-40-43,1-6-10-11-12-17-21-22-27-32-35-38-39-41-42-43-44-45-46-47-48-50-56-61-62-65-66-86-87-88-90-100,
Simisear,Gluttony-Blaze,Flame Burst-Fury Swipes-Leer-Lick,1-1-1-1,1-6-10-11-12-15-17-21-22-27-31-32-35-38-39-41-42-43-44-45-46-47-48-50-52-56-61-62-65-66-68-80-86-87-88-90-100,
Panpour,Gluttony-Torrent,Play Nice-Scratch-Leer-Lick-Water Gun-Fury Swipes-Water Sport-Bite-Scald-Taunt-Fling-Acrobatics-Brine-Recycle-Natural Gift-Crunch,1-1-4-7-10-13-16-19-22-25-28-31-34-37-40-43,1-6-7-10-12-13-14-17-18-21-27-32-39-41-42-44-45-46-47-48-55-56-62-65-66-86-87-88-90-94-98-100,
Simipour,Gluttony-Torrent,Fury Swipes-Leer-Scald-Lick,1-1-1-1,1-6-7-10-12-13-14-15-17-18-21-27-31-32-39-41-42-44-45-46-47-48-52-55-56-62-65-66-68-80-86-87-88-90-94-98-100,
Munna,Forewarn-Synchronize-Telepathy,Defense Curl-Psywave-Lucky Chant-Yawn-Psybeam-Imprison-Moonlight-Hypnosis-Zen Headbutt-Synchronoise-Nightmare-Future Sight-Calm Mind-Psychic-Dream Eater-Telekinesis-Stored Power,1-1-5-7-11-13-17-19-23-25-29-31-35-37-41-43-47,3-4-6-10-16-17-18-20-21-27-29-30-32-33-39-41-42-44-45-48-53-57-73-74-77-80-85-87-88-90-92-99-100,11-17-20-25-26-27-33-34-38-40-49-52-65-69-82-83-92
Musharna,Forewarn-Synchronize-Telepathy,Defense Curl-Lucky Chant-Hypnosis-Psychic Terrain-Psybeam,1-1-1-1-1,3-4-6-10-15-16-17-18-20-21-27-29-30-32-33-39-41-42-44-45-48-53-57-68-73-74-77-80-85-87-88-90-92-99-100,11-17-20-25-26-27-33-34-38-40-49-52-65-69-82-83-92
Pidove,Big Pecks-Super Luck-Rivalry,Gust-Growl-Leer-Quick Attack-Air Cutter-Roost-Detect-Taunt-Air Slash-Razor Wind-Feather Dance-Swagger-Facade-Tailwind-Sky Attack,1-4-8-11-15-18-22-25-29-32-36-39-43-46-50,1-6-10-11-12-17-18-19-21-27-32-40-42-44-45-48-49-51-76-87-88-89-90-100,12-13-20-26-27-35-36-37-85
Tranquill,Big Pecks-Super Luck-Rivalry,Quick Attack-Gust-Leer-Growl-Air Cutter-Roost-Detect-Taunt-Air Slash-Razor Wind-Feather Dance-Swagger-Facade-Tailwind-Sky Attack,1-1-1-1-15-18-23-27-32-36-41-45-50-54-59,1-6-10-11-12-17-18-19-21-27-32-40-42-44-45-48-49-51-76-87-88-89-90-100,12-13-20-26-27-35-36-37-85
Unfezant,Big Pecks-Super Luck-Rivalry,Quick Attack-Gust-Leer-Growl-Air Cutter-Roost-Detect-Taunt-Air Slash-Razor Wind-Feather Dance-Swagger-Facade-Tailwind-Sky Attack,1-1-1-1-15-18-23-27-33-38-44-49-55-60-66,1-6-10-11-12-15-17-18-19-21-27-32-40-42-44-45-48-49-51-68-76-77-87-88-89-90-100,12-13-20-26-27-35-36-37-66-85-89
Blitzle,Lightning Rod-Motor Drive-Sap Sipper,Quick Attack-Tail Whip-Charge-Shock Wave-Thunder Wave-Flame Charge-Pursuit-Spark-Stomp-Discharge-Agility-Wild Charge-Thrash,1-4-8-11-15-18-22-25-29-32-36-39-43,6-10-16-17-18-21-24-25-27-32-42-43-44-45-48-57-72-73-87-88-90-93-100,
Zebstrika,Lightning Rod-Motor Drive-Sap Sipper,Quick Attack-Charge-Tail Whip-Thunder Wave-Ion Deluge-Shock Wave-Flame Charge-Pursuit-Spark-Stomp-Discharge-Agility-Wild Charge-Thrash,1-1-1-1-1-11-18-22-25-31-36-42-47-53,6-10-15-16-17-18-21-24-25-27-32-42-43-44-45-48-50-57-68-72-73-87-88-90-93-100,
Roggenrola,Sturdy-Weak Armor-Sand Force,Tackle-Harden-Sand Attack-Headbutt-Rock Blast-Mud Slap-Iron Defense-Smack Down-Rock Slide-Stealth Rock-Sandstorm-Stone Edge-Explosion,1-4-7-10-14-17-20-23-27-30-33-36-40,6-10-17-21-23-26-27-32-37-39-42-44-45-48-64-69-71-78-80-87-88-90-91-96-100,10-20-26-27-46-67-70-75-76-79-99
Boldore,Sturdy-Weak Armor-Sand Force,Power Gem-Harden-Tackle-Sand Attack-Headbutt-Rock Blast-Mud Slap-Iron Defense-Smack Down-Rock Slide-Stealth Rock-Sandstorm-Stone Edge-Explosion,0-1-1-1-1-14-17-20-23-30-36-42-48-55,6-10-17-21-23-26-27-32-37-39-42-44-45-48-64-69-71-78-80-87-88-90-91-96-100,10-20-26-27-46-63-67-70-75-76-79-99
Gigalith,Sturdy-Sand Stream-Sand Force,Harden-Tackle-Sand Attack-Power Gem-Headbutt-Rock Blast-Mud Slap-Iron Defense-Smack Down-Rock Slide-Stealth Rock-Sandstorm-Stone Edge-Explosion,1-1-1-1-1-14-17-20-23-30-36-42-48-55,6-10-15-17-21-22-23-26-27-32-37-39-42-44-45-48-64-68-69-71-78-80-87-88-90-91-96-100,10-20-26-27-39-46-63-67-70-74-75-76-79-95-99
Woobat,Unaware-Klutz-Simple,Confusion-Odor Sleuth-Gust-Assurance-Heart Stamp-Imprison-Air Cutter-Attract-Calm Mind-Amnesia-Air Slash-Future Sight-Psychic-Endeavor,1-4-8-12-15-19-21-25-29-29-32-36-41-47,3-4-6-10-12-16-17-18-19-20-21-27-29-30-32-33-40-41-42-44-45-46-48-51-53-57-62-63-73-74-76-77-85-87-88-89-90-92-100,11-17-20-25-26-27-29-33-34-35-36-37-38-40-49-52-65-68-69-82-83-91
Swoobat,Unaware-Klutz-Simple,Assurance-Odor Sleuth-Confusion-Gust-Heart Stamp-Imprison-Air Cutter-Attract-Calm Mind-Amnesia-Air Slash-Future Sight-Psychic-Endeavor,1-1-1-1-15-19-21-25-29-29-32-36-41-47,3-4-6-10-12-15-16-17-18-19-20-21-27-29-30-32-33-40-41-42-44-45-46-48-51-53-57-62-63-68-73-74-76-77-85-87-88-89-90-92-100,11-17-20-25-26-27-29-33-34-35-36-37-38-40-49-52-65-68-69-82-83-91-97
Drilbur,Sand Rush-Sand Force-Mold Breaker,Mud Sport-Scratch-Rapid Spin-Mud Slap-Fury Swipes-Metal Claw-Dig-Hone Claws-Slash-Rock Slide-Earthquake-Swords Dance-Sandstorm-Drill Run-Fissure,1-1-5-8-12-15-19-22-26-29-33-36-40-43-47,6-10-17-21-26-27-31-32-36-37-39-40-42-44-45-48-56-65-75-78-80-81-84-87-88-90-100,0-10-20-22-26-27-46-57-60-67-76-87-94
Excadrill,Sand Rush-Sand Force-Mold Breaker,Horn Drill-Mud Sport-Rapid Spin-Mud Slap-Scratch-Rototiller-Fury Swipes-Metal Claw-Dig-Hone Claws-Slash-Rock Slide-Earthquake-Swords Dance-Sandstorm-Drill Run-Fissure,0-1-1-1-1-1-12-15-19-22-26-29-36-42-49-55-62,6-10-15-17-21-26-27-31-32-36-37-39-40-42-44-45-48-52-56-59-65-67-68-75-78-80-81-84-87-88-90-100,0-10-20-22-26-27-46-57-60-64-67-74-76-87-94
Audino,Healer-Regenerator-Klutz,Helping Hand-Misty Terrain-Pound-Hyper Voice-Play Nice-Last Resort-Growl-Baby Doll Eyes-Refresh-Disarming Voice-Double Slap-Attract-Secret Power-Entrainment-Take Down-Heal Pulse-After You-Simple Beam-Double Edge,1-1-1-1-1-1-1-5-9-13-17-21-25-29-33-37-41-45-49,1-3-4-6-10-11-13-14-15-16-17-18-20-21-22-24-25-27-29-30-32-33-35-38-42-44-45-48-49-56-57-73-77-85-86-87-88-90-92-93-94-99-100,1-2-4-5-6-7-8-9-11-15-17-20-25-26-27-30-31-33-35-40-42-49-69-77-83-85-86-92-95
Mega Audino,Healer,Helping Hand-Misty Terrain-Pound-Hyper Voice-Play Nice-Last Resort-Growl-Baby Doll Eyes-Refresh-Disarming Voice-Double Slap-Attract-Secret Power-Entrainment-Take Down-Heal Pulse-After You-Simple Beam-Double Edge,1-1-1-1-1-1-1-5-9-13-17-21-25-29-33-37-41-45-49,1-3-4-6-10-11-13-14-15-16-17-18-20-21-22-24-25-27-29-30-32-33-35-38-42-44-45-48-49-56-57-73-77-85-86-87-88-90-92-93-94-99-100,1-2-4-5-6-7-8-9-11-15-17-20-25-26-27-30-31-33-35-40-42-49-69-77-83-85-86-92-95
